TH,Assay18,AODAPI18,Assay20,AODAPI20,Assay22,AODAPI22,Assay24,AODAPI24
0,3.386454183,98.13212835,3.458681523,98.13212835,7.256911344,95.3923196,7.774371551,95.3923196
5,4.886337005,98.14092904,4.63091922,98.14092904,14.32316492,93.84222498,13.746168,93.84222498
10,6.29247715,97.69663948,5.837975859,97.69663948,14.79980934,93.6895733,15.37706928,93.6895733
15,11.36629951,94.10402221,10.55013928,94.10402221,19.88798856,91.31591561,19.1416309,91.31591561
20,13.37004921,93.52142276,12.72051996,93.52142276,23.99904671,88.25418579,22.94297977,88.25418579
30,36.51277244,78.27376631,36.16527391,74.81947268,44.39942803,75.71609376,40.8583691,75.71609376
40,56.08155613,65.72495502,55.40854225,65.72495502,55.83889418,68.98207977,54.28571429,68.98207977
60,76.02531052,51.67297886,75.24373259,51.67297886,73.18875119,54.34603861,72.39730227,54.34603861
