Time (h),Obsv 1,Obsv 2
0,1.73E+05,1.66E+05
19,2.53E+05,2.09E+05
43,3.29E+05,3.31E+05
67,6.48E+05,6.01E+05
91,5.48E+05,5.59E+05
163,2.34E+06,2.36E+06
187,3.04E+06,3.10E+06
211,2.74E+06,2.84E+06
235,2.54E+06,2.78E+06
259,3.07E+06,3.31E+06
