CT,AODAPI,T1,+,-,T2,+,-
0,91.04825156,26.97659766,22.65571333,15.80700653,74.93339334,62.93119317,43.90741386
5,90.41634933,48.65706571,23.30929733,18.79532637,122.590459,58.72728694,47.35443154
10,85.12091253,52.65346535,46.90604158,32.08690296,104.1071107,92.74323032,63.44263834
15,78.79769836,90.51935194,105.4187016,65.00774247,164.4527453,191.5214207,118.1040461
20,77.35471704,132.4815482,304.3289854,125.4904353,150.7650765,346.3288541,142.8091334
30,65.48592972,171.0468047,113.507889,84.88916543,193.5265527,128.4256113,96.04568512
60,62.26655348,385.0540054,267.083519,197.3654607,443.6012601,307.6934247,227.374773
