Time (h),Obsv 1,Obsv 2
0,185253.4562,221198.1567
19,117050.6912,126267.2811
43,87557.60369,89400.92166
67,92165.89862,91244.23963
91,63939.82134,60178.65538
163,356840.6206,401034.3206
187,697696.2858,732487.071
211,1921658.986,1821198.157
235,2897695.853,2925345.622
259,2766820.276,2597235.023
331,3176036.866,3052534.562
