Time (h),Obsv 1,Obsv 2
0,2.17E+05,2.25E+05
19,3.02E+05,3.14E+05
43,4.63E+05,4.80E+05
67,8.67E+05,8.88E+05
91,9.04E+05,9.32E+05
163,2.65E+06,2.56E+06
187,2.43E+06,2.42E+06
211,2.80E+06,2.83E+06
235,2.12E+06,2.18E+06
259,2.75E+06,2.84E+06
331,2.44E+06,2.57E+06
355,2.60E+06,2.50E+06
380,2.33E+06,2.37E+06
404,3.09E+06,2.94E+06
