Time (h),Obsv 1,Obsv 2
0,1.53E+05,1.56E+05
19,1.85E+05,1.88E+05
43,2.12E+05,1.86E+05
67,3.73E+05,3.57E+05
91,3.07E+05,3.23E+05
163,2.22E+06,2.16E+06
187,3.13E+06,2.97E+06
