Time (h),Obsv 1,Obsv 2
0,177880.1843,186175.1152
19,157603.6866,211981.5668
43,152073.7327,170506.9124
67,242396.3134,257142.8571
91,188528.4438,201222.3789
163,1454160.79,1424071.462
187,2335483.871,2457142.857
211,2312442.396,2365898.618
235,2446082.949,2514285.714
259,2611059.908,2589861.751
331,2557603.687,2541935.484
355,2190783.41,2224884.793
380,2309677.419,2281105.991
404,3184331.797,2971428.571
