Time (h),Obsv 1,Obsv 2
0,1.87E+05,2.03E+05
19,2.54E+05,2.58E+05
43,3.44E+05,3.12E+05
67,6.08E+05,6.02E+05
91,6.07E+05,6.42E+05
163,2.20E+06,2.35E+06
187,2.86E+06,2.85E+06
211,3.13E+06,3.08E+06
235,3.11E+06,2.97E+06
259,3.45E+06,3.53E+06
