Time (h),Obsv 1,Obsv 2
0,98502.04267,114389.4689
25,63549.70495,73082.16069
71,82160.68997,76713.5724
93,134816.1598,137539.7186
121,233318.2025,258738.0844
168,914207.8983,969133.0005
189,1492056.287,1468906.037
264,2876078.075,2226055.379
290,2315024.966,2557421.698
336,2904221.516,3326373.128
362,3004085.338,3199273.718
