Time (h),Obsv 1,Obsv 2
0,105310.9396,106218.7926
25,153881.0713,170676.3504
71,642759.8729,712210.6219
93,1381298.23,1304130.731
121,2117113.028,2038129.823
168,2843395.37,3085792.102
189,3292782.569,3384475.715
264,2408533.818,2524738.992
290,3031320.926,2981389.015
336,3398093.509,3428052.655
362,2834316.841,2903313.663
