Time (h),Obsv 1,Obsv 2
0,95778.48389,118928.7335
25,225147.5261,256922.3786
71,1030867,969133.0005
93,2153881.071,2178847.027
121,2864275.987,2877439.855
168,3028597.367,3153881.071
189,3054925.102,2931457.104
264,3882886.972,3765773.945
290,3211983.659,3224693.6
336,3287335.452,3845665.002
362,2457557.876,2597367.227
