Time (h),Obsv 1,Obsv 2
0,97594.18974,109850.2043
25,78075.35179,85792.10168
71,39491.60236,41761.23468
93,37221.97004,36768.04358
121,30413.07308,29505.22015
168,41307.30822,35860.19065
189,73082.16069,56740.80799
264,60826.14616,62641.85202
290,158874.2624,170676.3504
336,305038.5837,298229.6868
362,913300.0454,1037675.897
