Time (h),Obsv 1,Obsv 2
0,95324.55742,104857.0132
25,114389.4689,128007.2628
71,315024.966,330912.3922
93,541080.345,573309.1239
121,1005901.044,1022696.323
168,2544711.757,2645029.505
189,3351793.01,3143894.689
264,3055832.955,3212891.512
290,2522015.433,2762596.459
336,3326373.128,3582387.653
362,3908306.854,4167952.792
