Time (h),Obsv 1,Obsv 2
0,108942.3513,103041.3073
25,215161.1439,232410.3495
71,932364.9569,990467.5443
93,2011802.088,2021788.47
121,2869723.105,2955515.207
168,2657285.52,2724466.636
189,3441670.449,3546073.536
264,2485701.316,2554698.139
290,2850658.193,2803449.841
336,3834770.767,3764866.092
362,2936904.222,2848842.488
