Study1_AODAPI,Study1_T2,Study3_AODAPI,Study3_T2,Study4_AODAPI,Study4_T2,Study5_AODAPI,Study5_T2
91.04825156,74.93339334,96.18375836,102.3087309,97.0877899,93.01710171,91.72106306,71.63636364
90.41634933,122.590459,94.70832686,80.82808281,91.58067542,112.9990999,94.21362799,72.13591359
85.12091253,104.1071107,89.54151808,85.02430243,77.32832916,193.4266427,63.61224296,159.6570657
78.79769836,164.4527453,83.75735913,126.7866787,61.26893939,212.209721,64.17491872,190.129613
77.35471704,150.7650765,71.58916709,147.2682268,,,,
65.48592972,193.5265527,68.47107004,178.0405041,,,,
62.26655348,443.6012601,,,,,,
