Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,88194.76344,102893.8907,108865.4111,82223.24299
24,51446.94534,56499.77033,62471.29077,68902.15893
48,40881.94763,47312.8158,42259.99081,50068.90216
72,56499.77033,57877.8135,47312.8158,63389.98622
96,93247.58842,88194.76344,103812.5861,79926.50436
120,159853.0087,168121.2678,173633.4405,179145.6132
144,276527.3312,282498.8516,296279.2834,278364.7221
168,455463.7282,443526.1708,572084.4812,559228.6501
192,983471.0744,1040404.04,1039485.767,945821.8549
216,2021120.294,2114784.206,2144168.962,2349862.259
240,2175390.266,2213039.486,2260789.715,2426997.245
264,2646464.646,2911845.73,2733700.643,2961432.507
288,3404958.678,3639118.457,3700642.792,3854912.764
312,2023875.115,2188246.097,2317722.681,2256198.347
336,3449035.813,3719926.538,3620752.984,3858585.859
