Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,90950.84979,110243.4543,113918.2361,123105.1906
24,126779.9724,122186.4952,126779.9724,150206.7065
48,160771.7042,159853.0087,189251.2632,176848.8746
72,330271.0152,352779.0537,351860.3583,446026.6422
96,660542.0303,707854.8461,673403.7667,728984.8415
120,1419384.474,1558566.835,1459347.726,1505282.499
144,2852549.38,2937528.709,2673403.767,2525953.147
168,3164370.983,3244260.79,3338842.975,3503213.958
192,2643709.826,2860422.406,2827364.555,2640036.731
216,3073461.892,3269972.452,3255280.073,3388429.752
240,3246097.337,3657483.93,3986225.895,3590449.954
264,4227731.864,4096418.733,4089990.817,4155188.246
288,3126721.763,3145087.236,3110192.837,3012855.831
312,3058769.513,3086317.723,3138659.32,3444444.444
336,2935720.845,2928374.656,3283746.556,3168044.077
