Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,102893.8907,92328.89297,86816.72026,84060.6339
24,64308.68167,64768.0294,57418.46578,56959.11805
48,77629.76573,72117.59302,82682.59072,85898.0248
72,115296.2793,130914.102,115296.2793,123564.5384
96,196141.4791,212218.6495,163068.4428,190629.3064
120,389526.8718,368856.2242,370693.6151,359669.2696
144,679375.2871,670188.3326,584749.6555,598070.7395
168,1455463.728,1470156.107,1481175.39,1224058.77
192,2719926.538,2539026.63,2551882.461,2605142.332
216,3552800.735,3394857.668,3303030.303,3400367.309
240,3363636.364,3350780.533,3176308.54,2943985.308
264,4081726.354,4168962.351,4021120.294,3935720.845
288,2839302.112,2932966.024,2855831.038,2975206.612
312,2765840.22,2440771.35,2473829.201,2663911.846
336,3764003.673,3709825.528,3738292.011,3759412.305
