Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,91869.54525,92328.89297,96922.37023,93706.93615
24,80385.85209,100597.152,85898.0248,83141.93845
48,155259.5315,137804.3179,180523.6564,156637.5746
72,277905.3744,272852.5494,264124.9426,240238.8608
96,515388.1488,523656.4079,526412.4943,519522.2784
120,1041341.295,1058796.509,1025723.473,1021589.343
144,2327514.929,2332108.406,2057877.814,2256316.031
168,3011937.557,3017447.199,2879706.152,2983471.074
192,3152433.425,3327823.691,3204775.023,3018365.473
216,3456382.002,3378328.742,3566574.839,3329660.239
240,3605142.332,3724517.906,3364554.637,3440771.35
264,4233241.506,4317722.681,3999081.726,3860422.406
288,3255280.073,3246097.337,3315886.134,2758494.031
312,3042240.588,3191919.192,3252525.253,3033976.125
336,3639118.457,3683195.592,3587695.133,3745638.2
