Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,1.04E+05,1.32E+05,8.27E+04,7.99E+04
24,1.41E+05,1.81E+05,190629.3064,158474.9655
48,3.16E+05,2.86E+05,319706.0175,288470.3721
72,5.58E+05,5.91E+05,595774.0009,639412.0349
96,1.09E+06,1.27E+06,1265962.333,1412953.606
120,2.34E+06,2.39E+06,2475424.897,2570050.528
144,3.22E+06,3.72E+06,3760220.487,3685806.155
168,2.80E+06,3.04E+06,3022956.841,3508723.6
192,2.75E+06,2.99E+06,2939393.939,3061524.334
216,3.36E+06,3.39E+06,3758494.031,3582185.491
240,3.21E+06,3.15E+06,3066115.702,3304866.85
264,3.17E+06,3.34E+06,3345270.891,3520661.157
288,2.78E+06,2.90E+06,3572543.618,2801652.893
312,3.71E+06,3.76E+06,3799816.345,3760330.579
336,2808080.808,3372819.1,3416896.235,3529843.893
