T,k,+,-,a,+,-,b,+,-
0.0,3342909.462558831,60806.366492971625,60806.366492971625,3.7642441555309136,0.5196323717376282,0.5196323717376282,0.041666666666663944,0.005429397262118318,0.005429397262118318
5.0,3388374.4908436104,71839.87986575048,71839.87986575048,3.9509693064090063,0.5526662470330126,0.5526662470330126,0.03620832274172397,0.004840864189820826,0.004840864189820826
10.0,3317823.4072675034,65875.17456985755,65875.17456985755,3.9350269674603475,0.501010070960495,0.501010070960495,0.03526720399629277,0.004299845049023372,0.004299845049023372
15.0,3572399.885984838,72045.18448752108,72045.18448752108,3.8902511767387895,0.49110710344778297,0.49110710344778297,0.03437529877035653,0.004160624050332099,0.004160624050332099
20.0,3544312.2286639046,61582.295093600595,61582.295093600595,4.075797249404591,0.4213979318791588,0.4213979318791588,0.033548054452908975,0.0033460717020195375,0.0033460717020195375
30.0,3698193.2380576055,82497.93137056519,82497.93137056519,4.072370075446412,0.45533018081345006,0.45533018081345006,0.02935465424037989,0.003216767563522491,0.003216767563522491
40.0,3378502.3047083216,92252.85549978925,92252.85549978925,6.662867847535602,1.0779717671285762,1.0779717671285762,0.04166666666666634,0.0066168418957343635,0.0066168418957343635
60.0,3323975.2062841323,168205.02157413767,168205.02157413767,4.8366556621084085,0.7896980531304776,0.7896980531304776,0.025108804990922193,0.004225739332740519,0.004225739332740519
