Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,99219.10887,103812.5861,107487.3679,103353.2384
24,110702.802,97381.71796,116214.9747,102434.5429
48,183739.0905,174552.136,209003.2154,203031.695
72,365181.4424,336701.8833,329352.3197,401010.565
96,616444.6486,634818.5576,712448.3234,749196.1415
120,1313275.149,1480018.374,1465319.247,1418465.779
144,2452916.858,2512172.715,2499310.978,2536977.492
168,3111111.111,3166207.53,3523415.978,3389348.026
192,2926538.108,3344352.617,3258953.168,3499540.863
216,3406795.225,3471074.38,3600550.964,3977961.433
240,3669421.488,3601469.238,3365472.911,3526170.799
264,3983471.074,4268135.904,4471992.654,4460973.37
288,3061524.334,3034894.399,3111111.111,3131313.131
312,2934802.571,3128558.31,3462809.917,3026629.936
336,3271808.999,3457300.275,3556473.829,3946740.129
