Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,101515.8475,100597.152,96922.37023,105649.977
24,123564.5384,133210.8406,133670.1883,140101.0565
48,205787.7814,204409.7382,215893.4313,241616.904
72,310519.0629,308222.3243,321543.4084,310978.4107
96,611851.1713,683509.4166,625631.6031,576481.3964
120,1390445.567,1381258.613,1333027.102,1157556.27
144,2474506.201,2602664.217,2802021.13,2839228.296
168,3130394.858,3312213.039,2993572.084,2955922.865
192,2843893.48,2834710.744,2758494.031,2351698.806
216,3202938.476,2989898.99,3075298.439,3040404.04
240,3331496.786,3528007.346,3581267.218,3365472.911
264,4056014.692,3915518.825,3808080.808,4078053.26
288,3539026.63,3262626.263,3323232.323,3220385.675
312,2953168.044,3160697.888,2922865.014,2900826.446
336,3213957.759,3003673.095,3234159.78,2941230.487
