Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,93247.58842,79467.15664,81304.54754,86357.37253
24,75333.0271,86357.37253,67524.11576,107946.7157
48,102434.5429,108865.4111,118971.0611,101975.1952
72,172255.3973,163987.1383,194304.0882,201653.6518
96,302250.8039,331649.0583,367018.8333,363344.0514
120,633899.8622,677997.2439,687643.5462,705098.7598
144,1396876.435,1453376.206,1424437.299,1602664.217
168,2234159.78,2324150.597,2466483.012,2370064.279
192,2908172.635,2923783.287,3115702.479,3237832.874
216,3239669.421,3255280.073,3355371.901,3447199.265
240,3670339.761,3601469.238,3611570.248,4233241.506
264,3875114.784,4095500.459,4280073.462,4462809.917
288,2966942.149,3073461.892,2837465.565,2989898.99
312,3068870.523,3406795.225,3460973.37,3960514.233
336,3617998.163,3817263.545,3966023.875,3815426.997
