TH,ATP9-10,AODAPI9-10,ATP11-13,AODAPI11-13,ATP12-14,AODAPI12-14
0,1.240846869,98,0.777960129,98,3.362750517,98
5,1.014602927,96,0.873998699,97,4.795509827,97
10,0.937713967,96,0.753498,96,3.881962795,96
15,1.07744047,96,0.895478608,97,4.280174491,97
20,1.149049079,94,0.821750492,94,3.521107355,94
30,1.768628092,91,0.847403944,89,3.973174297,89
40,,,0.74107942,82,3.39995318,82
60,1.075751878,82,0.65828329,79,2.700317464,79
