Study1,Study2,Study3
99.01052992,98.14575451,99.28543285
98.40312798,98.12174921,97.30776501
98.20747834,98.52432566,97.69192556
98.50500163,97.97203728,98.53097242
96.4264971,98.52695438,98.77257406
96.11992475,97.4993063,98.17009048
93.16565241,97.12237492,97.9555791
