ATP,+,-,T2,+,-
0.8852315,0.021890753,0.021890753,83.62556256,11.68805987,11.68805987
0.8021375,0.011873256,0.011873256,98.6919892,18.79349435,18.79349435
0.80808,0.017412816,0.017412816,104.5067507,22.27602635,22.27602635
0.7380395,0.00124595,0.00124595,159.6370837,20.91524204,20.91524204
0.7128265,0.002132945,0.002132945,167.3168317,35.92288006,35.92288006
0.711021,0.019644162,0.019644162,204.7963996,24.64915682,24.64915682
0.622282,0.016098955,0.016098955,458.3879388,28.98189019,28.98189019
