ATP,+,-,T2,+,-
0.73680728,0.037315456,0.037315456,83.62556256,11.68805987,11.68805987
0.553049096,0.017612528,0.017612528,98.6919892,18.79349435,18.79349435
0.549042981,0.038821977,0.038821977,104.5067507,22.27602635,22.27602635
0.537186532,0.019310742,0.019310742,159.6370837,20.91524204,20.91524204
0.503174236,0.005891583,0.005891583,167.3168317,35.92288006,35.92288006
0.436938882,0.011871785,0.011871785,204.7963996,24.64915682,24.64915682
0.318504994,0.000517258,0.000517258,458.3879388,28.98189019,28.98189019
