Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,72316.90465,70935.05297,72316.90465,70935.05297
42,34546.29203,25794.56472,36388.76094,37309.99539
114,86596.03869,92584.06264,129433.4408,124366.6513
138,181943.8047,172270.8429,183786.2736,167664.6707
162,422119.8157,482027.6498,445161.2903,479262.6728
186,763133.6406,873732.7189,907834.1014,882949.3088
210,1519815.668,1489400.922,1657142.857,1591705.069
282,2102304.147,2394470.046,2487557.604,2552073.733
306,2009216.59,2087557.604,2147465.438,2082027.65
330,2251612.903,2419354.839,2377880.184,2368663.594
354,2479262.673,2678341.014,2858986.175,2668202.765
450,2690322.581,2887557.604,2845161.29,2815668.203
474,3187096.774,3426728.111,3501382.488,3340092.166
