CT,T1,Lower CI,Upper CI,T2,Lower CI,Upper CI
0.0,35.868586858685866,17.05536747802584,54.68180623934589,76.33213321332133,36.29561954765323,116.36864687898942
5.0,53.05310531053105,19.47233628110883,86.63387433995328,104.9063906390639,38.504296866402825,171.30848441172498
10.0,84.02520252025202,36.378715724209805,131.67168931629425,124.38883888388838,53.85415415012959,194.92352361764716
15.0,113.49864986498649,92.51454521393096,134.48275451604204,153.86228622862285,125.41558382367995,182.30898863356575
20.0,127.48604860486049,91.34478876463169,163.62730844508928,203.9171917191719,146.108323278556,261.72606015978783
30.0,209.6120612061206,141.86107693939988,277.3630454728413,250.07560756075605,169.24596228247816,330.90525283903395
60.0,326.5067506750675,-100.23127121909113,753.2447725692261,473.17461746174615,-145.2554757864599,1091.604710709952
