Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,72316.90465,81989.86642,72316.90465,81989.86642
42,16121.60295,16582.22018,13357.89959,11054.81345
114,24412.71304,23030.86135,25333.94749,23030.86135
138,28558.26808,17042.8374,23491.47858,10133.579
162,15200.36849,11515.43068,10594.19622,9672.961769
186,17042.8374,17964.07186,10594.19622,12436.66513
210,23952.09581,17964.07186,17964.07186,15200.36849
282,204053.4316,213726.3934,218793.1829,227544.9102
306,376958.5253,343778.8018,364976.9585,395391.7051
330,510599.0783,508755.7604,552995.3917,515207.3733
354,82949.30876,106912.4424,68202.76498,70967.74194
450,875576.0369,860829.4931,843317.9724,812903.2258
474,1263594.47,1317050.691,1376958.525,1413824.885
492,1753917.051,1754838.71,1815668.203,1737327.189
