Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,75541.22524,86135.42146,75541.22524,86135.42146
42,22109.6269,13357.89959,24412.71304,17964.07186
114,35928.14371,32243.2059,32243.2059,35467.52649
138,46061.72271,44679.87103,50667.89498,43298.01935
162,54352.8328,52510.36389,55734.68448,62643.94288
186,96269.00046,105020.7278,107323.8139,109166.2828
210,220175.0345,190695.532,226163.0585,232611.6997
282,1604608.295,1601843.318,1589861.751,1530875.576
306,2119815.668,2088479.263,2139170.507,2182488.479
330,2436866.359,2576036.866,2469124.424,2393548.387
354,2720737.327,2925345.622,2795391.705,2738248.848
450,2552073.733,2630414.747,2648847.926,2725345.622
474,2985253.456,2972350.23,2888479.263,2760368.664
492,3177880.184,3259907.834,3102304.147,2912442.396
522,2423041.475,2318894.009,2475576.037,2260829.493
546,2599078.341,2577880.184,2408294.931,2230414.747
