T,k,+,-,a,+,-,b,+,-
0.0,2847528.3162757726,109815.80578375155,109815.80578375155,1.815076296451792,0.30774834430310555,0.30774834430310555,0.023809523809523805,0.0034877064483040104,0.0034877064483040104
5.0,3049568.191341504,178429.2266273048,178429.2266273048,1.9395414881914947,0.3789041243836968,0.3789041243836968,0.018482814201493964,0.003418296929379196,0.003418296929379196
10.0,2924908.4236717783,148169.18596220936,148169.18596220936,2.9623768638844616,0.5075447809959674,0.5075447809959674,0.023809523809523597,0.004066257022404588,0.004066257022404588
15.0,3712353.9864458325,91127.74437628331,91127.74437628331,3.6641545934909545,0.21137478821719138,0.21137478821719138,0.023809523809523798,0.0014709385715612957,0.0014709385715612957
20.0,3127744.376434548,104267.96756433931,104267.96756433931,2.568333012584239,0.20974432019318762,0.20974432019318762,0.012596643549023786,0.0011585279224286013,0.0011585279224286013
30.0,2755316.0382400136,45078.237917851955,45078.237917851955,5.954355807410738,0.6173064762050767,0.6173064762050767,0.0238095238095238,0.0022670103007543514,0.0022670103007543514
60.0,3631336.4059989024,2878360.0913537554,2878360.0913537554,3.1044546077065696,0.8540299260893421,0.8540299260893421,0.006561253690396588,0.003464603972290019,0.003464603972290019
