CT,T1,+,-,T2,+,-
0.0,35.868586858685866,18.813219380660026,18.813219380660026,76.33213321332133,40.036513665668096,40.036513665668096
5.0,53.05310531053105,33.58076902942222,33.58076902942222,104.9063906390639,66.40209377266108,66.40209377266108
10.0,84.02520252025202,47.64648679604222,47.64648679604222,124.38883888388838,70.5346847337588,70.5346847337588
15.0,113.49864986498649,20.984104651055535,20.984104651055535,153.86228622862285,28.446702404942897,28.446702404942897
20.0,127.48604860486049,36.1412598402288,36.1412598402288,203.9171917191719,57.808868440615896,57.808868440615896
30.0,209.6120612061206,67.7509842667207,67.7509842667207,250.07560756075605,80.82964527827791,80.82964527827791
60.0,326.5067506750675,426.73802189415863,426.73802189415863,473.17461746174615,618.430093248206,618.430093248206
