Time (h),Obsv 1,Obsv 2
0,142000,109000
19,170000,359000
25,251000,284000
43,585000,413000
49,656000,514000
115,4060000,2710000
121,3450000,3000000
139,3530000,3190000
147,3380000,4970000
164,4090000,3450000
168,4590000,3700000
