Time (h),Obsv 1,Obsv 2
0,155000,76000
19,102000,34500
25,63600,40100
43,41900,29500
49,35900,23000
115,59000,59400
121,44700,48800
139,66800,45100
147,104000,89800
164,190000,118000
168,157000,115000
187,176000,149000
193,263000,194000
