Time (h),Obsv 1,Obsv 2
0,92100,74200
19,109000,49700
25,65900,45600
43,80600,59400
49,90300,57600
115,488000,406000
121,555000,519000
139,943000,894000
147,1450000,1170000
164,3020000,2050000
168,3220000,2080000
187,3550000,3140000
193,3920000,3490000
