Time (h),Obsv 1,Obsv 2
0,115000,90700
19,155000,132000
25,284000,178000
43,269000,324000
49,506000,464000
115,4210000,3130000
121,3740000,2710000
139,4110000,3700000
147,3920000,3520000
164,3850000,3230000
168,4970000,3140000
187,4710000,3040000
193,5810000,4000000
