Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,87276.06798,101056.4998,80845.19982,104271.9339
24,103812.5861,108406.0634,111621.4975,104731.2816
48,224161.6904,225539.7336,214974.7359,223242.9949
72,459807.074,490124.0239,505282.4989,463022.508
96,912264.5843,1016536.518,909967.8457,934772.6229
120,2218649.518,2134129.536,2073954.984,1960955.443
144,2831037.649,2919191.919,2987144.169,2618916.437
168,3297520.661,3227731.864,3059687.787,2881542.7
192,3575757.576,3404040.404,3292929.293,3144168.962
216,3653810.836,3626262.626,3530762.167,3739210.285
240,3038567.493,2900826.446,2989898.99,2587695.133
264,3601469.238,3532598.714,3822773.186,3273645.546
288,4401285.583,4232323.232,4502295.684,3862258.953
312,3888888.889,3863177.227,3910927.456,3595041.322
336,3824609.734,3626262.626,3794306.703,3407713.499
