Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,88194.76344,85898.0248,91410.19752,91410.19752
24,62471.29077,50068.90216,44097.38172,57877.8135
48,39963.25218,36288.47037,33073.03629,40422.59991
72,68442.81121,70739.54984,62930.63849,62471.29077
96,129995.4065,125861.277,128617.3633,123564.5384
120,202572.3473,202572.3473,178686.2655,169958.6587
144,343132.7515,323380.7993,330730.3629,319246.6697
168,831955.9229,736455.4637,717171.7172,712580.3489
192,1564738.292,1625344.353,1674931.129,1519742.883
216,2708907.254,2779614.325,3006427.916,2820018.365
240,3290174.472,3257116.621,3286501.377,3194674.013
264,3408631.772,3717171.717,3340679.522,2320477.502
288,4163452.709,3778696.051,3704315.886,3324150.597
312,4151515.152,4121212.121,4154269.972,3913682.277
336,3632690.542,4323232.323,4208448.118,4077134.986
