Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,1.05E+05,1.16E+05,9.37E+04,9.10E+04
24,1.72E+05,2.12E+05,188332.5678,175011.4837
48,3.51E+05,3.67E+05,364262.7469,406063.39
72,7.29E+05,8.08E+05,797427.6527,842903.0776
96,1.36E+06,1.43E+06,1502985.76,1502526.412
120,2.00E+06,2.24E+06,2231511.254,2370234.267
144,2.27E+06,2.33E+06,2668503.214,2848484.848
168,2.53E+06,2.83E+06,2741965.106,3098255.28
192,3.46E+06,3.47E+06,3551882.461,3898989.899
216,3.65E+06,3.92E+06,3643709.826,3939393.939
240,3.75E+06,3.97E+06,3921946.74,4006427.916
264,4.50E+06,4.54E+06,4841138.659,4161616.162
288,3.61E+06,3.63E+06,3497704.316,3563820.018
312,3.21E+06,3.69E+06,3237832.874,3659320.478
336,3410468.32,3488521.579,3501377.41,3835629.017
