Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,73495.6362,107946.7157,90032.15434,90032.15434
24,145613.2292,154340.836,155259.5315,157556.2701
48,258612.7699,289848.4153,306844.2811,347266.881
72,618282.0395,602204.8691,665594.8553,696830.5007
96,1199816.261,1220486.909,1347266.881,1383555.351
120,2496095.544,2482774.46,2535599.449,2559026.183
144,2728191.001,2913682.277,3185491.276,3036730.946
168,3012855.831,3120293.848,3302112.029,3131313.131
192,3265381.084,3200183.655,3146005.51,3725436.18
216,3726354.454,4003673.095,3954086.318,3797979.798
240,3189164.371,3337006.428,3341597.796,3431588.613
264,3722681.359,3625344.353,3860422.406,3416896.235
288,4100091.827,4239669.421,4428833.792,4461891.644
312,3838383.838,3933884.298,4089072.544,4434343.434
336,3084481.175,3417814.509,3491276.4,3404040.404
