CT,T1,+,-,T2,+,-
0.0,47.65796579657965,20.44960463406425,16.838333135451677,94.71557155715571,40.64160017447229,33.464549322173546
5.0,55.05130513051305,22.45286245437753,18.654654801985266,93.31683168316832,38.05958789702086,31.62128996101864
10.0,64.84248424842484,28.42478341544468,23.313865512390556,101.5094509450945,44.4983592343643,36.49733218893489
15.0,79.12961296129612,36.54514338764241,29.68044617618292,113.29882988298829,52.325821254188696,42.49685669271922
20.0,97.31323132313231,54.234791039828664,42.34210665240246,131.28262826282628,73.16667851005161,57.12258211891189
30.0,116.49594959495948,54.85204268641263,44.38116794064406,154.46174617461745,72.7282135048111,58.844901657228476
40.0,147.26822682268227,54.16271243077725,45.77610575936423,186.33303330333032,68.53007411649168,57.91881129407784
60.0,206.7146714671467,110.18237562908664,86.88306175508694,231.39243924392437,123.33603840285079,97.25523324398014
