Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,70280.20211,63849.33395,83141.93845,69820.85439
24,38585.209,51446.94534,52824.98852,55121.72715
48,29857.6022,25264.12494,31235.64538,34910.42719
72,34910.42719,33532.38401,32154.34084,37207.16582
96,38585.209,43178.68627,42719.33854,39963.25218
120,55121.72715,55581.07487,71658.24529,63849.33395
144,79007.80891,102434.5429,94625.6316,102893.8907
168,171717.1717,166207.5298,174471.9927,198347.1074
192,366391.1846,362718.09,395775.9412,407713.4986
216,612488.5216,625344.3526,551882.461,610651.9743
240,1152433.425,1179981.635,1426078.972,1216712.58
264,2497704.316,2484848.485,2764921.947,2582491.582
288,2768595.041,2981634.527,3088154.27,2816345.271
312,2783287.42,3009182.736,3061524.334,3159779.614
336,3719926.538,2429752.066,2539026.63,2966942.149
