Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,81304.54754,78089.11346,89113.45889,85898.0248
24,57877.8135,71658.24529,67064.76803,71658.24529
48,86816.72026,74414.33165,70739.54984,73036.28847
72,137804.3179,124023.8861,154340.836,152962.7928
96,272393.2017,292145.1539,289848.4153,308681.672
120,453835.5535,472209.4626,487367.9375,529627.9283
144,832338.0799,866329.8117,819016.9959,1034910.427
168,1714416.896,1761248.852,1879706.152,1840220.386
192,3108356.29,3269054.178,3100091.827,3292929.293
216,3357208.448,3483930.211,3442607.897,3464646.465
240,2830119.376,2924701.561,3184573.003,2994490.358
264,3415059.688,3381083.563,3168962.351,3780532.599
288,4157943.067,4498622.59,4475665.748,4622589.532
312,3927456.382,4061524.334,4143250.689,4283746.556
336,3455463.728,3702479.339,3786960.514,4110192.837
