Time (h),Obsv 1,Obsv 2,Obsv 3,Obsv 4
0,78548.46119,89113.45889,99219.10887,92788.2407
24,81763.89527,93247.58842,98759.76114,91869.54525
48,162609.0951,149288.011,167202.5723,163987.1383
72,321543.4084,373909.0492,348644.9242,354157.0969
96,685346.8075,709692.237,723932.0165,794212.2186
120,1429949.472,1470372.072,1487827.285,1732659.623
144,2194674.013,2516988.062,2458218.549,2460973.37
168,3287419.651,3365472.911,3337924.702,3476584.022
192,3412304.867,3471992.654,3621671.258,3822773.186
216,3429752.066,3423324.151,3584940.312,3535353.535
240,3257116.621,3217630.854,3306703.398,3418732.782
264,3178145.087,3478420.569,3332415.06,3122130.395
288,4239669.421,4313131.313,4574839.302,4455463.728
312,3792470.156,3972451.791,3944903.581,4624426.079
336,3260789.715,3347107.438,3868686.869,3644628.099
