Time (h),Obsv 1,Obsv 2
0,92600.99864,112573.7631
25,49024.0581,56740.80799
71,71720.3813,64457.55788
93,85338.17522,78529.27826
121,142532.9097,147072.1743
168,500680.8897,562414.8888
189,814798.0027,747616.8861
264,2257830.232,2226055.379
290,2047208.352,2124375.851
336,2616432.138,2661824.784
362,2482977.758,2621879.256
