Time (h),Obsv 1,Obsv 2
0,102587.3808,88969.58693
25,61280.07263,68088.96959
71,133908.3069,144802.542
93,229686.7907,244666.364
121,471629.596,463912.8461
168,1503858.375,1468452.111
189,2019518.838,2173853.836
264,2172492.056,2321379.936
290,2139809.351,2216068.997
336,3004993.191,3185655.924
362,2341352.701,2686336.813
