Time (h),Obsv 1,Obsv 2
0,89877.43985,88515.66046
25,81252.83704,86699.95461
71,40853.38175,36768.04358
93,21788.47027,31774.85247
121,25419.88198,26781.66137
168,44938.71993,45846.57286
189,24058.10259,25419.88198
264,52201.54335,53109.39628
290,90785.29278,81706.7635
336,117113.0277,128461.1893
362,325919.2011,382206.0826
