Time (h),Obsv 1,Obsv 2
0,95324.55742,113481.616
25,213345.438,211529.7322
71,1043576.941,1120290.513
93,1842487.517,1871992.737
121,2509759.419,2516114.389
168,2009078.529,1940989.56
189,2792555.606,2840671.811
264,2084430.322,2240581.026
290,2637312.755,2796187.018
336,3363595.098,3485247.39
362,2512029.051,2928733.545
