Time (h),Obsv 1,Obsv 2
0,103495.2338,124829.7776
25,252837.0404,278710.8488
71,1196096.232,1226055.379
93,1985020.427,1960962.324
121,2693145.71,2805265.547
168,2650930.549,2753517.93
189,2763504.312,3300953.246
264,3174761.689,3405356.332
290,3079437.131,3270994.099
336,3384475.715,3571493.418
362,2634589.197,2791647.753
