Time (h),Obsv 1,Obsv 2
0,102587.3808,98502.04267
25,208352.2469,201997.2764
71,916477.5306,862460.2814
93,1606899.682,1742169.768
121,2443032.229,2527008.625
168,1821152.973,2023604.176
189,2301407.172,2432137.994
264,3391738.538,3976395.824
290,2800726.282,2930549.251
336,3707671.357,3574216.977
362,1733999.092,2025419.882
