Time (h),Obsv 1,Obsv 2
0,88969.58693,81252.83704
25,195642.3059,186109.8502
71,685882.887,758511.1212
93,1248297.776,1300953.246
121,2329550.613,2489786.655
168,2495687.699,2607353.609
189,2555605.992,2679981.843
264,2487517.022,2268724.467
290,2710848.842,2564684.521
336,3035860.191,2952337.721
362,2102587.381,2222423.967
