T,k,+,-,a,+,-,b,+,-
0.0,3730645.086721071,73059.88382483726,73059.88382483726,2.1534440491070814,0.1437852199473047,0.1437852199473047,0.025170854325874226,0.0018625805379983745,0.0018625805379983745
5.0,3727570.765776067,77846.81413553758,77846.81413553758,1.939976015165629,0.11154335618120556,0.11154335618120556,0.02135339393738766,0.0013599381462722868,0.0013599381462722868
10.0,3389122.963332452,65713.06888451791,65713.06888451791,2.3091161753920306,0.17922076000021483,0.17922076000021483,0.02804074261621279,0.0024220074161641443,0.0024220074161641443
15.0,3324315.9357460593,106370.12460096374,106370.12460096374,2.6490833849277236,0.3118789494956873,0.3118789494956873,0.02812634239526439,0.003453647289155495,0.003453647289155495
20.0,4031300.611546488,158020.3828656563,158020.3828656563,2.380014044798371,0.24713441836588104,0.24713441836588104,0.018499954060499958,0.0019263729705433382,0.0019263729705433382
30.0,3421062.5366252926,84594.64713079203,84594.64713079203,4.101276887920257,0.2615179458534304,0.2615179458534304,0.0249902698480345,0.0016712181706803482,0.0016712181706803482
40.0,5882352.941999556,3406497.043985713,3406497.043985713,3.6646718768736997,0.9954515721203867,0.9954515721203867,0.013931448670186237,0.006163440018915217,0.006163440018915217
60.0,955999.999996839,2411467.177451806,2411467.177451806,4.887447018272418,6.035290508311868,6.035290508311868,0.01829107416032565,0.03307783907054851,0.03307783907054851
