Time (h),Obsv 1,Obsv 2
0,112000,139000
17,81100,57100
22,57100,47000
40,36900,40600
45,42400,35900
73,46500,33600
78,38700,43300
145,74700,77400
151,86600,92200
171,107000,121000
176,119000,111000
193,158000,186000
198,189000,201000
216,373000,432000
