Time (h),Obsv 1,Obsv 2
0,100000,87100
17,126000,125000
22,127000,119000
40,223000,253000
45,271000,296000
73,1010000,602000
78,677000,676000
145,2990000,3220000
151,3550000,3510000
171,3330000,3320000
176,3670000,3620000
193,3440000,3540000
198,4090000,4160000
216,3810000,3730000
