CT,AODAPI,T1,+,-,T2,+,-
0,97.0877899,56.94959496,29.09682281,23.15389938,93.01710171,47.52451933,37.81780389
5,91.58067542,71.23672367,34.99714076,28.07663709,112.9990999,55.51413936,44.53650528
15,77.32832916,131.0828083,106.2462198,74.97884241,193.4266427,156.7776114,110.6392665
30,61.26893939,156.559856,748.9514142,156.5464809,212.209721,1015.169372,212.1915917
