Time (h),Obsv 1,Obsv 2
0,93000,109000
17,98600,86600
22,69100,79300
40,75600,74700
45,75100,72800
73,123000,136000
78,142000,143000
145,911000,929000
151,1080000,1020000
171,1550000,1530000
176,1660000,1570000
193,2610000,2560000
198,2700000,2770000
216,3320000,3390000
