AODAPI,T2
91.04825156,71.48
90.41634933,94.88
85.12091253,118.28
78.79769836,141.68
77.35471704,165.08
65.48592972,211.88
62.26655348,352.28
96.18375836,71.48
94.70832686,94.88
89.54151808,118.28
83.75735913,141.68
71.58916709,165.08
68.47107004,211.88
97.0877899,71.48
91.58067542,94.88
77.32832916,141.68
61.26893939,211.88
91.72106306,71.48
94.21362799,94.88
63.61224296,141.68
64.17491872,211.88
