Time (h),Obs 1,Obs 2
0,1.10E+05,1.03E+05
21,1.71E+05,1.52E+05
45,3.07E+05,3.01E+05
69,7.14E+05,7.31E+05
141,3.39E+06,3.28E+06
165,4.12E+06,4.13E+06
189,4.56E+06,4.34E+06
213,4.80E+06,4.76E+06
