T,k,+,-,a,+,-,b,+,-
0.0,5377958.282486605,152743.12037612853,152743.12037612853,2.0131395993853176,0.09093400772683774,0.09093400772683774,0.019681645089598646,0.0011452367380461632,0.0011452367380461632
5.0,3191952.20842667,78639.88997594967,78639.88997594967,3.8489789301446926,1.0625237011702764,1.0625237011702764,0.04761904761903756,0.014931913515476921,0.014931913515476921
10.0,3195720.9578920878,61248.165679062964,61248.165679062964,3.868365015183394,0.648490925162318,0.648490925162318,0.045487608734243797,0.008660796849824617,0.008660796849824617
15.0,3388219.2845102265,69757.59806222653,69757.59806222653,6.035851370634929,1.6610543196739778,1.6610543196739778,0.04761904761904722,0.011593625002235724,0.011593625002235724
20.0,3264058.498309198,87652.89560173759,87652.89560173759,5.914365861146127,0.8978771351220298,0.8978771351220298,0.04017053239625025,0.005922106244315189,0.005922106244315189
30.0,2799288.4330139738,152363.5959208261,152363.5959208261,7.928075760600445,1.976748157971693,1.976748157971693,0.04453383980739455,0.01101364388611809,0.01101364388611809
60.0,119605.11457197768,304581.1862351893,304581.1862351893,4.847290708412638e-19,2.3566174405772817,2.3566174405772817,0.003012048192771085,0.012589734256181616,0.012589734256181616
