Time (h),Obs 1,Obs 2
0,107834.1014,118894.0092
21,71889.40092,52534.56221
45,44239.63134,46082.94931
69,56195.3017,63104.56011
141,310599.0783,304147.4654
165,536405.53,607373.2719
189,1176036.866,1264516.129
213,3248847.926,2092165.899
237,2413824.885,2529032.258
309,2356682.028,2498617.512
332,3049769.585,3144700.461
