Time (h),Obs 1,Obs 2
0,1.68E+05,1.80E+05
21,1.05E+05,1.27E+05
45,1.75E+05,2.11E+05
69,3.95E+05,3.93E+05
141,2.85E+06,3.00E+06
165,2.93E+06,3.22E+06
189,3.44E+06,3.62E+06
213,3.18E+06,2.96E+06
237,2.97E+06,3.09E+06
309,3.31E+06,3.24E+06
332,3.15E+06,3.05E+06
