Time (h),Obs 1,Obs 2
0,77419.35484,82027.64977
21,59907.8341,70967.74194
45,78341.01382,73732.71889
69,118839.2446,152003.6849
141,952995.3917,1036866.359
165,1740092.166,1706912.442
189,3120737.327,3104147.465
213,3010138.249,2886635.945
237,2952995.392,2930875.576
309,3358525.346,3176036.866
332,3458064.516,3294009.217
